"","Provinces","Year","Dengue","Population_density","Humidity"
"201","Phrae",2008,128.762795126491,70.8832382721801,77.6408535777186
"202","Phuket",2008,233.393765647653,602.183288707521,72.0024078601551
"203","Prachin Buri",2008,210.672636807303,96.460327879317,77.4826610945235
"204","Prachuap Khiri Khan",2008,152.75868294241,78.5816364670002,76.3620966758805
"205","Ranong",2008,66.0233062270982,55.4052476542922,78.3102871204151
"206","Ratchaburi",2008,382.528905177131,160.851941186138,73.1451258959594
"207","Rayong",2008,343.083998398941,168.542792792793,76.639953309779
"208","Roi Et",2008,105.185990388019,157.505877799839,73.5681745196391
"209","Sa Kaeo",2008,148.953546034573,75.2487304621537,76.6862064580573
"210","Sakon Nakhon",2008,19.4912776532502,116.183782986965,76.0676660206966
"211","Samut Prakan",2008,271.710885186474,1142.54869075742,78.7405438483869
"212","Samut Sakhon",2008,314.06957404572,548.114454454477,70.6537434628366
"213","Samut Songkhram",2008,85.2065872437993,465.684521738296,70.4401265945036
"214","Saraburi",2008,127.303915248234,173.813066792377,72.6178220016158
"215","Satun",2008,168.542584296881,116.341942664252,73.3757310250845
"216","Si Sa Ket",2008,117.330235870418,163.056098794838,77.5142671863478
"217","Sing Buri",2008,68.2771401632149,262.075095017739,78.6359444634326
"218","Songkhla",2008,183.265201041107,180.658378831492,81.984174507486
"219","Sukhothai",2008,91.2389082518128,91.5416279821446,81.9806911946553
"220","Suphan Buri",2008,127.399093051066,157.614173028484,81.9431697314058
"221","Surat Thani",2008,107.722528492156,76.289676529494,80.3625190019052
"222","Surin",2008,88.4726456949965,169.319364612947,81.1534202008073
"223","Tak",2008,208.981992141046,32.8116952577156,82.4082440133275
"224","Trang",2008,94.556915989817,125.036425888746,81.9431218946559
"225","Trat",2008,196.356496127414,78.6899609790706,81.6552880498049
"226","Ubon Ratchathani",2008,39.3623520724001,114.03430328012,82.2151461159229
"227","Udon Thani",2008,17.8044628120654,130.911292820935,81.8582241263441
"228","Uthai Thani",2008,159.513955183594,48.6737037546622,82.9465621740601
"229","Uttaradit",2008,272.599043959296,59.2204569392054,80.6886720348716
"230","Yala",2008,93.0602455791179,105.180003530132,81.6086794901702
"231","Yasothon",2008,22.8143652598426,129.583743425707,84.0997958042623
"232","Amnat Charoen",2009,97.6256998306383,117.296713196813,73.8999833320684
"233","Ang Thong",2009,280.540857492969,294.109082046982,74.2695646373619
"234","Bangkok",2009,193.052461204066,3635.15044268096,72.1272291822836
"235","Bungkan",2009,NA,0,73.5431443433164
"236","Buri Ram",2009,110.422657591493,149.840282052934,71.7033179450099
"237","Chachoengsao",2009,212.26249396472,125.020183143338,70.6613625746993
"238","Chai Nat",2009,164.569793095224,135.811536894887,72.7562052572904
"239","Chaiyaphum",2009,69.7674831980348,88.0529604633234,70.7509666122635
"240","Chanthaburi",2009,236.28546727016,80.663616282739,70.8552168602056
"241","Chiang Mai",2009,261.003045545981,81.1927871890948,73.7949779434481
"242","Chiang Rai",2009,78.3307515986252,102.320195568405,76.5550805533549
"243","Chon Buri",2009,188.742158360409,295.574146229658,78.9640179089764
"244","Chumphon",2009,158.279753313213,81.1688052337424,81.2811342619516
"245","Kalasin",2009,NA,141.095989402808,82.3370615649891
"246","Kamphaeng Phet",2009,157.942672863303,84.4434324059627,76.1647185837013
"247","Kanchanaburi",2009,140.864842942899,42.7766087903248,77.6300184655318
"248","Khon Kaen",2009,39.8923643858222,161.881633008883,76.8385861393746
"249","Krabi",2009,230.919269685575,90.5925268959705,76.612400461945
"250","Lampang",2009,159.712648038321,60.9941262781973,73.2915525511954
"251","Lamphun",2009,86.7324119764859,89.8143804032152,71.450649920883
"252","Loei",2009,41.5606172879281,54.3370750796614,73.2904786827128
"253","Lop Buri",2009,192.192478779299,121.690654450266,74.9698051893284
"254","Mae Hong Son",2009,139.757780745678,19.0712136705039,75.961178525868
"255","Maha Sarakham",2009,49.8354790275692,177.465279004808,72.9956629647149
"256","Mukdahan",2009,47.6263725861416,77.8942953986677,76.0121229413335
"257","Nakhon Nayok",2009,112.443033498488,118.606503298775,74.3039708021915
"258","Nakhon Pathom",2009,298.792848703234,392.664943986769,74.8286229434158
"259","Nakhon Phanom",2009,12.2736160070787,127.105423363061,72.9725717575133
"260","Nakhon Ratchasima",2009,70.7426461094267,125.46582008244,71.600915388244
"261","Nakhon Sawan",2009,245.882997721994,111.784132764626,71.6579199359697
"262","Nakhon Si Thammarat",2009,140.257263605185,152.526899164818,75.623635242306
"263","Nan",2009,55.7174515468426,41.4584218090681,73.7690291986579
"264","Narathiwat",2009,105.346868643305,162.681798173583,70.4575622206131
"265","Nong Bua Lam Phu",2009,22.3591721516511,129.800942502966,71.8350650193556
"266","Nong Khai",2009,19.6197299531551,299.765342137243,71.7233065287954
"267","Nonthaburi",2009,229.947749266978,1732.38920590131,72.2159267501202
"268","P.Nakhon S.Ayutthaya",2009,190.413038906957,303.193644783779,74.6457977420571
"269","Pathum Thani",2009,140.530502647494,626.779984480842,74.521911037141
"270","Pattani",2009,124.918162390523,333.765556423667,74.5865174305881
"271","Phangnga",2009,114.441481858244,60.3364505699616,71.983149937444
"272","Phatthalung",2009,144.551643733371,148.278873858839,74.455743436295
"273","Phayao",2009,72.056166858269,76.6507318577637,76.5983737907292
"274","Phetchabun",2009,203.190553950509,78.5516516034838,76.2084340526487
"275","Phetchaburi",2009,125.74825632698,74.0929759308147,76.6153998311209
"276","Phichit",2009,221.441702986119,122.090358160526,72.7468187681049
