"","Year","Provinces","intermon","intermonH","premon","premonH","mon","monH","postmon","postmonH"
"X50.1",2007,"Kamphaeng Phet",2.57068899931157,64.5745178844749,6.24242933317544,67.0066891882976,16.0421253819472,80.2875009663243,5.85227749985197,79.7684413210059
"X57.1",2007,"Kanchanaburi",1.98732861874824,65.3932295979693,4.47930107047368,71.2819921363848,15.489264542368,83.1682765339967,10.1676170316504,76.5356344641211
"X29.1",2007,"Khon Kaen",1.40590483418277,61.2332968507621,4.44165796841981,65.2746177279083,8.65553860512579,74.7385665757696,2.44860631592374,72.7040746385159
"X65.1",2007,"Krabi",2.39926955795309,73.5058928653711,10.110539242028,79.1674071475977,22.9875449302015,84.7731753339143,9.67268124335749,86.0300467562276
"X41.1",2007,"Lampang",0.519911984294887,63.2492136134986,2.82259552857444,62.7356684461988,5.11324036137908,82.0090526210711,0.521094559121435,79.7434106109993
"X40.1",2007,"Lamphun",2.13227866979375,64.3287414971168,1.97469916692379,60.86180941576,18.0191298981796,78.439209783526,8.3924714594261,80.8300617861084
"X31.1",2007,"Loei",0.85457701982973,64.348221929896,3.18013182993949,69.8015044398615,8.32763335128221,77.4784477675588,1.13191132930049,75.2796540056195
"X7.1",2007,"Lop Buri",3.01824932609031,57.6771894799095,1.68037275974251,69.169600899431,8.45713921844094,75.2621410702347,10.6792110915215,68.8019713086819
"X47.1",2007,"Mae Hong Son",1.71483898799414,65.7376738707406,3.47834795586819,62.1239318550426,17.8082408623937,85.4809284068839,4.15525620122521,82.0501108876384
"X33.1",2007,"Maha Sarakham",1.34822424609419,59.5354623044096,5.51491125262492,63.7930461822834,13.5026375507817,76.1593703388852,3.41568696936769,71.6479448905358
"X38.1",2007,"Mukdahan",1.9937537036282,64.9034749597743,6.22227753135583,69.4119034573652,16.2223664210349,82.4096252158068,3.11113876567792,74.2483921120132
"X17.1",2007,"Nakhon Nayok",2.53538490458129,66.8043104536401,10.6346351456081,76.6203975849024,25.0246258270091,82.1885506386753,12.1633639477893,72.8321497745364
"X59.1",2007,"Nakhon Pathom",5.92830864288443,63.1205606712778,3.87229793618374,70.7443964103737,19.8257703008183,72.9597342157738,19.736865501263,66.2331981076919
"X37.1",2007,"Nakhon Phanom",0.28643746959018,63.8370136048221,3.62233877256097,69.1778718263997,0.929415869275513,84.2304734643426,1.07499029104873,73.1365661445186
"X19.1",2007,"Nakhon Ratchasima",1.61574729898368,61.9969363040304,2.39105402729518,70.6701364683198,9.40502908834178,76.7483914910695,2.923843239899,74.0230140507458
"X48.1",2007,"Nakhon Sawan",2.94862664596534,59.3083432366799,5.18196292134866,66.0045553233661,20.2236187664011,75.1752548366436,14.2426406041858,75.3769593866932
"X64.1",2007,"Nakhon Si Thammarat",3.6832446881025,76.7866365680587,6.80693355573722,78.6287185069409,8.194754960305,82.5224401917773,3.89911727949996,85.4096596986745
"X44.1",2007,"Nan",0.418857324780259,64.910594970624,0.980425112328706,67.6295311625503,2.83622978923661,82.3999680839279,0.735318834246529,78.4058479409529
"X77.1",2007,"Narathiwat",4.36705646717873,84.5064889114943,7.22292445098829,81.5938646899035,32.5031600294473,82.106463264736,21.182614976456,86.8599555564773
"X28.1",2007,"Nong Bua Lam Phu",0.944023538307775,62.0767604235945,1.50117496195954,65.659747618152,4.15398782831518,75.6289699488673,0.800768737988469,72.8805818142345
"X32.1",2007,"Nong Khai",0.92150598333977,61.2045415015448,2.31563927632965,66.5026494434902,8.90418436017233,81.6643948810441,2.64644488723388,69.7625874025481
"X3.1",2007,"Nonthaburi",5.30691918034548,64.3523484923836,8.64532506422242,72.66497049435,30.8999118366851,73.7291757117805,20.1882590785414,67.7212121106414
"X5.1",2007,"P.Nakhon S.Ayutthaya",1.6935857424998,61.4487652134251,3.03374652961067,71.6139691763618,9.23125729724389,74.5426228929384,18.202479177664,65.7133364875966
"X4.1",2007,"Pathum Thani",1.136635496866,65.3734478006268,1.21962155860461,73.8177128341725,9.20096852300242,76.4566506607698,10.7075598601022,69.3756118458096
"X75.1",2007,"Pattani",10.8219531671791,79.7652143706781,15.3645950936072,78.9009667356423,17.5187528516637,79.8041187119715,13.7035577861902,85.1993039844106
"X66.1",2007,"Phangnga",5.08777039416537,74.842486398137,12.8034313195937,81.1872290283886,15.6041819207548,85.2761771145152,9.00241264658928,84.7534888537962
"X74.1",2007,"Phatthalung",2.51165345422239,81.3148628301359,5.67511797316461,81.2706159978414,16.8768769957773,82.3401049739573,9.60150773366803,85.4142678650836
"X45.1",2007,"Phayao",0.423595635191002,64.2992545746842,0.526131701097754,64.1915400572679,2.15434994029373,80.3801048852582,0.307764277184819,78.627587718493
"X55.1",2007,"Phetchabun",0.735671673991151,63.2939207011099,3.5801602908027,73.3580253769303,14.9061813976879,81.2798429530056,3.56343056981764,73.6903428178863
"X62.1",2007,"Phetchaburi",0.654558453966914,67.7703204076358,3.19552626323148,74.6239955106029,10.6759627430688,80.2955926013942,7.29887248760826,76.9295858744401
"X54.1",2007,"Phichit",1.44293423577412,61.4141009345371,7.15860090860091,65.9788629292494,22.1525612150612,79.4896853559062,19.7613478863479,75.6882134864846
"X53.1",2007,"Phitsanulok",1.66192372562367,64.2677095053698,3.0410922655545,69.4438173786401,12.0557586241625,82.1653437893371,6.22041599772511,75.2452499102749
"X43.1",2007,"Phrae",1.01936238974606,63.8522791439344,5.03441019367376,65.8454587240881,12.1904646832529,83.5113773879322,1.07880218435866,78.0111864034495
"X67.1",2007,"Phuket",1.63467700562484,76.3571468788983,8.46059909196365,80.5228974491288,22.476651804554,81.680519897621,9.02124120046727,81.3587673694103
"X16.1",2007,"Prachin Buri",2.39207237189661,65.8658895478508,11.4647527785699,76.7233569969661,26.9929622381519,84.1388714022068,9.0339349426073,73.6777718534175
"X63.1",2007,"Prachuap Khiri Khan",1.00470357704681,70.5111873328663,5.72900220766434,77.6421340325321,22.5829273069559,82.9622195909947,10.4920679965946,80.712703161161
"X69.1",2007,"Ranong",3.4810459662353,74.7751652730071,4.92532657651495,80.5352219426696,9.44020927165365,87.1869464768548,5.47258508501661,85.7584018046531
"X56.1",2007,"Ratchaburi",2.87807942436833,65.483861259872,4.34681524001399,70.9881227691738,21.325316051353,78.3513842621291,17.1081076877615,72.4228223927448
"X12.1",2007,"Rayong",3.88973586482947,67.9608203528626,8.63032797473485,81.9914917631544,34.9528282976762,83.2987549362222,16.2862640813545,74.7675684586312
"X34.1",2007,"Roi Et",3.05849846757553,60.4846595008418,10.9903111864538,64.9137578532381,26.2199245416964,78.1573438734379,6.80838303197951,71.6950441504425
"X18.1",2007,"Sa Kaeo",2.95908373208568,64.2696559223908,11.6975265887858,76.4406444417632,10.5739483769682,83.370698021474,2.67811792953779,73.9894799196694
"X36.1",2007,"Sakon Nakhon",0.597990935802561,61.7716214014414,3.6737232019813,66.1829830446789,11.9396004064392,81.4417443179642,1.52325108374834,70.4452151662599
"X2.1",2007,"Samut Prakan",7.45155069611603,66.0908380693651,8.77480480417658,75.94604732984,28.6561299275468,75.5751548827164,28.0241696477758,69.6376887869647
"X60.1",2007,"Samut Sakhon",14.1101895146151,66.651361239675,10.0387747675396,74.7267358540277,32.0508798567801,74.3797874118248,27.1883483287531,69.1678788552876
"X61.1",2007,"Samut Songkhram",4.12130611485112,66.8730439064034,6.18384573366176,72.9814644078345,24.7353829346471,74.8578299003045,26.2813443680625,70.0656060532563
"X10.1",2007,"Saraburi",1.99219761329392,61.5006304948226,1.98399931364348,73.4412629141324,9.89318576668168,77.1877575376759,6.91718679621646,68.8356037305749
"X72.1",2007,"Satun",0.984579226248171,76.4220709553285,4.16075781268962,80.2692895921155,8.4948805342413,83.483368785526,5.54767708358616,85.0703094301249
"X22.1",2007,"Si Sa Ket",1.66403462052531,61.8734905984225,9.36581629679786,69.9458676110979,21.9923241932216,80.2539851003334,5.37667231853211,77.2790178866859
"X8.1",2007,"Sing Buri",1.85527046308378,57.1339071272009,1.08249710432025,66.923272912942,1.62374565648037,72.0592093918804,3.24749131296074,68.1694845572788
"X71.1",2007,"Songkhla",10.6884535460937,78.0756024854805,16.7444246805333,79.8178439577814,19.8949218726605,82.1179541748349,10.4808619460864,85.7671441710822
"X52.1",2007,"Sukhothai",0.441228881244244,62.9131897339998,4.47155346735849,62.4557122350622,4.30594037597484,78.2444257164001,0.910872002610062,77.4318145412869
"X58.1",2007,"Suphan Buri",3.51679057045341,60.7748741833917,3.39452155797488,67.1863999149717,9.26585971784421,73.2005821675267,13.262316784646,67.8644344803382
"X68.1",2007,"Surat Thani",6.37312672731063,76.0495863405419,12.7437841853705,78.2347841774111,14.6672143782423,84.2800633479387,4.57556081123676,86.5346909836456
"X21.1",2007,"Surin",4.85002885802639,60.699815962408,15.4603700795797,68.4298577629771,28.0976475035622,78.6958516943989,7.59690598737969,74.8601599537712
"X51.1",2007,"Tak",1.30377070489268,64.6374796739265,3.21983417853981,66.6408216529309,16.393290360931,84.5107190081306,8.54494455074025,80.4197997998073
"X73.1",2007,"Trang",0.732066180884929,75.7037290470575,4.49960343856442,79.8415960045271,4.96040620034511,83.6532459782016,3.41536164613926,85.4096696607528
"X14.1",2007,"Trat",4.96494324515323,71.0495614428292,9.91763852010801,85.2990322578244,7.10012757689551,87.7226062402493,7.66362976553801,79.0998719481595
"X23.1",2007,"Ubon Ratchathani",1.04189205426778,61.7517044875675,5.94093338375701,69.6829218518509,9.10633695229003,83.2528607769872,0.807595631854468,78.4325519078987
"X30.1",2007,"Udon Thani",1.19617793848519,60.085779213329,2.21407644685012,64.224428870192,7.42366808649745,78.800061745558,1.66055733513759,69.8871485163828
"X49.1",2007,"Uthai Thani",2.24030919102424,65.3551265027492,4.07017800923523,68.9364564764211,14.271061644881,78.697746249151,3.96842355900435,80.5691318916875
"X42.1",2007,"Uttaradit",1.9368132580636,63.7706432448493,5.96001048387386,67.8834790088512,12.8714684245107,81.5172654222559,2.69277582102735,75.277233226211
"X76.1",2007,"Yala",11.3968735467862,79.7238828928457,9.5332827228177,78.64838652961,22.2384848809847,79.5174673112772,8.30657354892572,86.6847071372856
