"","Provinces","intermon","premon","mon","postmon","intermonH","premonH","monH","postmonH"
"129","Ratchaburi",8.63423827310498,13.040445720042,85.3012642054121,34.216215375523,65.483861259872,70.9881227691738,78.3513842621291,72.4228223927448
"130","Rayong",11.6692075944884,25.8909839242046,139.811313190705,32.572528162709,67.9608203528626,81.9914917631544,83.2987549362222,74.7675684586312
"131","Roi Et",9.17549540272658,32.9709335593614,104.879698166786,13.616766063959,60.4846595008418,64.9137578532381,78.1573438734379,71.6950441504425
"132","Sa Kaeo",8.87725119625703,35.0925797663573,42.2957935078727,5.35623585907559,64.2696559223908,76.4406444417632,83.370698021474,73.9894799196694
"133","Sakon Nakhon",1.79397280740768,11.0211696059439,47.7584016257569,3.04650216749669,61.7716214014414,66.1829830446789,81.4417443179642,70.4452151662599
"134","Samut Prakan",22.3546520883481,26.3244144125297,114.624519710187,56.0483392955517,66.0908380693651,75.94604732984,75.5751548827164,69.6376887869647
"135","Samut Sakhon",42.3305685438454,30.1163243026189,128.203519427121,54.3766966575063,66.651361239675,74.7267358540277,74.3797874118248,69.1678788552876
"136","Samut Songkhram",12.3639183445534,18.5515372009853,98.9415317385882,52.562688736125,66.8730439064034,72.9814644078345,74.8578299003045,70.0656060532563
"137","Saraburi",5.97659283988177,5.95199794093044,39.5727430667267,13.8343735924329,61.5006304948226,73.4412629141324,77.1877575376759,68.8356037305749
"138","Satun",NA,12.4822734380689,33.9795221369652,11.0953541671723,76.4220709553285,80.2692895921155,83.483368785526,85.0703094301249
"139","Si Sa Ket",4.99210386157593,28.0974488903936,87.9692967728866,10.7533446370642,61.8734905984225,69.9458676110979,80.2539851003334,77.2790178866859
"140","Sing Buri",5.56581138925134,3.24749131296074,6.49498262592147,6.49498262592147,57.1339071272009,66.923272912942,72.0592093918804,68.1694845572788
"141","Songkhla",32.0653606382812,50.2332740416,79.5796874906421,20.9617238921729,78.0756024854805,79.8178439577814,82.1179541748349,85.7671441710822
"142","Sukhothai",1.32368664373273,13.4146604020755,17.2237615038994,1.82174400522012,62.9131897339998,62.4557122350622,78.2444257164001,77.4318145412869
"143","Suphan Buri",10.5503717113602,10.1835646739246,37.0634388713768,26.5246335692921,60.7748741833917,67.1863999149717,73.2005821675267,67.8644344803382
"144","Surat Thani",19.1193801819319,38.2313525561116,58.6688575129692,9.15112162247353,76.0495863405419,78.2347841774111,84.2800633479387,86.5346909836456
"145","Surin",14.5500865740792,46.3811102387391,112.390590014249,15.1938119747594,60.699815962408,68.4298577629771,78.6958516943989,74.8601599537712
"146","Tak",3.91131211467805,9.65950253561942,65.5731614437241,17.0898891014805,64.6374796739265,66.6408216529309,84.5107190081306,80.4197997998073
"147","Trang",NA,13.4988103156933,19.8416248013805,6.83072329227852,75.7037290470575,79.8415960045271,83.6532459782016,85.4096696607528
"148","Trat",14.8948297354597,29.752915560324,28.400510307582,15.327259531076,71.0495614428292,85.2990322578244,87.7226062402493,79.0998719481595
"149","Ubon Ratchathani",3.12567616280334,17.822800151271,36.4253478091601,1.61519126370894,61.7517044875675,69.6829218518509,83.2528607769872,78.4325519078987
"150","Udon Thani",3.58853381545558,6.64222934055035,29.6946723459898,3.32111467027518,60.085779213329,64.224428870192,78.800061745558,69.8871485163828
"151","Uthai Thani",6.72092757307271,12.2105340277057,57.0842465795242,7.93684711800871,65.3551265027492,68.9364564764211,78.697746249151,80.5691318916875
"152","Uttaradit",5.81043977419079,17.8800314516216,51.4858736980429,5.3855516420547,63.7706432448493,67.8834790088512,81.5172654222559,75.277233226211
"153","Yala",34.1906206403586,28.5998481684531,88.9539395239387,16.6131470978514,79.7238828928457,78.64838652961,79.5174673112772,86.6847071372856
"154","Yasothon",1.48327108412336,22.9934505752071,27.6292269008537,NA,61.9225004866317,66.9404100801852,80.0011934641245,73.1948363845413
"155","Amnat Charoen",1.88392572447902,16.3918126926374,42.9949185380653,3.4933371312178,66.2762430754575,71.3059201413935,84.3068272536451,74.4020938613198
"156","Ang Thong",21.4101803637806,15.440221777731,14.3874793837948,10.527423939362,61.5279367470915,68.8071310297395,74.278116313411,75.2103982170818
"157","Bangkok",29.0073387289966,17.486951436789,55.4601208055433,34.1670826468053,66.9368525011994,74.4638066144567,75.7636571530775,75.4352850200445
"158","Bueng Kan",NA,NA,NA,NA,64.9982747349595,73.6839189749053,85.5786507623846,69.6914907178012
"159","Buri Ram",2.25607854614013,12.1640016347388,60.0476906095838,9.33217056633403,63.094115768369,70.393823396759,76.4701439757133,74.7462580626812
"160","Chachoengsao",15.6295904937625,16.9156281113998,51.933945956052,27.005651897147,66.144480531112,76.9871041339377,81.2129683867745,77.6392660058063
"161","Chai Nat",5.37289531994356,18.2125433667529,10.1512536798295,4.17992798581213,64.5460001503781,67.8553069211124,73.734401811464,76.1063344919726
"162","Chaiyaphum",3.46081757566858,6.2975475930507,20.4005062873473,7.0071304204367,67.3200731307245,76.4713090871294,82.7785043068736,75.3611697770951
"163","Chanthaburi",3.69975873888305,18.4603665645841,58.1015747664278,18.4603665645841,69.5807545135071,84.1577199952215,87.2416896331004,81.0608440390278
"164","Chiang Mai",15.8259770722324,14.5689155423507,67.0535861781833,16.8853121557789,68.0286109059283,68.609029613152,82.5347185952143,77.5822638830387
"165","Chiang Rai",1.33738117546064,13.5200773148125,61.5080060556593,9.59758574816937,69.5188373684311,67.5565654792061,80.187554991835,76.2618665318976
"166","Chon Buri",13.9368256673326,28.6410396469479,65.3349976031172,25.526231621683,67.2720878525536,78.1641108866441,79.8457990841504,78.0309137023322
"167","Chumphon",10.6213852675546,64.4945342923154,53.677413034427,7.5515752177711,74.9712185208458,82.2073191305867,85.4400149805014,83.771904808795
"168","Kalasin",NA,NA,NA,NA,64.1844959497537,69.0253735535824,80.9312106742736,70.7216516762556
"169","Kamphaeng Phet",6.32768514968609,8.11450529712155,31.907885236139,5.91396148773266,71.7426296445511,71.3311869106243,81.6025551344998,80.1758382338886
"170","Kanchanaburi",13.7331597391355,20.0053347559349,50.4896543840262,15.5993979346873,69.7379772389303,77.9005470154454,85.85752685203,81.0674931502142
"171","Khon Kaen",1.36000902708635,5.03507296047015,34.0574598000341,8.14663490233373,65.2565435715006,70.4704775046592,77.3383506330032,72.2372472086432
