"","row_number","Reporting_Area","Longitude","Latitude","Month","Year","Dengue_Cases","Relative_Humidity"
"157",157,"Amnat Charoen",104.74137,15.892609,1,2019,10,64.6496833259409
"158",158,"Amnat Charoen",104.74137,15.892609,2,2019,3,63.3125153541565
"159",159,"Amnat Charoen",104.74137,15.892609,3,2019,20,61.1169222484935
"160",160,"Amnat Charoen",104.74137,15.892609,4,2019,37,65.1469866275787
"161",161,"Amnat Charoen",104.74137,15.892609,5,2019,110,75.0859464081851
"162",162,"Amnat Charoen",104.74137,15.892609,6,2019,100,76.0235947738994
"163",163,"Amnat Charoen",104.74137,15.892609,7,2019,73,78.1265418096022
"164",164,"Amnat Charoen",104.74137,15.892609,8,2019,35,84.166180749373
"165",165,"Amnat Charoen",104.74137,15.892609,9,2019,76,81.4301087899642
"166",166,"Amnat Charoen",104.74137,15.892609,10,2019,62,71.95644754063
"167",167,"Amnat Charoen",104.74137,15.892609,11,2019,22,70.5648275852203
"168",168,"Amnat Charoen",104.74137,15.892609,12,2019,1,64.3950721350583
"169",169,"Amnat Charoen",104.74137,15.892609,1,2020,10,64.7627766219052
"170",170,"Amnat Charoen",104.74137,15.892609,2,2020,3,59.0078302426772
"171",171,"Amnat Charoen",104.74137,15.892609,3,2020,20,62.7366845477711
"172",172,"Amnat Charoen",104.74137,15.892609,4,2020,37,65.3767966183749
"173",173,"Amnat Charoen",104.74137,15.892609,5,2020,110,69.6471906141801
"174",174,"Amnat Charoen",104.74137,15.892609,6,2020,100,76.6343599839644
"175",175,"Amnat Charoen",104.74137,15.892609,7,2020,73,78.0717136946592
"176",176,"Amnat Charoen",104.74137,15.892609,8,2020,35,84.693863881718
"177",177,"Amnat Charoen",104.74137,15.892609,9,2020,76,84.1985167590055
"178",178,"Amnat Charoen",104.74137,15.892609,10,2020,62,84.7316023956646
"179",179,"Amnat Charoen",104.74137,15.892609,11,2020,22,72.6080142237923
"180",180,"Amnat Charoen",104.74137,15.892609,12,2020,1,70.0430090210655
"181",181,"Ang Thong",100.34851,14.623542,1,2006,13,57.8822321199755
"182",182,"Ang Thong",100.34851,14.623542,2,2006,15,61.6162813463458
"183",183,"Ang Thong",100.34851,14.623542,3,2006,23,61.5814949703027
"184",184,"Ang Thong",100.34851,14.623542,4,2006,24,66.347168666468
"185",185,"Ang Thong",100.34851,14.623542,5,2006,29,72.1321235034859
"186",186,"Ang Thong",100.34851,14.623542,6,2006,43,71.602702980724
"187",187,"Ang Thong",100.34851,14.623542,7,2006,25,71.2184344191201
"188",188,"Ang Thong",100.34851,14.623542,8,2006,38,68.0572821160197
"189",189,"Ang Thong",100.34851,14.623542,9,2006,23,79.0372412892033
"190",190,"Ang Thong",100.34851,14.623542,10,2006,23,76.8254625991609
"191",191,"Ang Thong",100.34851,14.623542,11,2006,25,66.5464830493358
"192",192,"Ang Thong",100.34851,14.623542,12,2006,1,57.6450183405791
"193",193,"Ang Thong",100.34851,14.623542,1,2007,9,56.2096856574178
"194",194,"Ang Thong",100.34851,14.623542,2,2007,1,60.756636124719
"195",195,"Ang Thong",100.34851,14.623542,3,2007,2,61.6222870449423
"196",196,"Ang Thong",100.34851,14.623542,4,2007,6,67.8569153165723
"197",197,"Ang Thong",100.34851,14.623542,5,2007,12,76.8094453906444
"198",198,"Ang Thong",100.34851,14.623542,6,2007,25,69.8514279010993
"199",199,"Ang Thong",100.34851,14.623542,7,2007,41,72.691614291303
"200",200,"Ang Thong",100.34851,14.623542,8,2007,52,71.348835833267
"201",201,"Ang Thong",100.34851,14.623542,9,2007,50,77.2532912874317
"202",202,"Ang Thong",100.34851,14.623542,10,2007,40,72.1277063115691
"203",203,"Ang Thong",100.34851,14.623542,11,2007,71,57.1224749510141
"204",204,"Ang Thong",100.34851,14.623542,12,2007,97,58.2849541848033
"205",205,"Ang Thong",100.34851,14.623542,1,2008,82,58.3725991372323
"206",206,"Ang Thong",100.34851,14.623542,2,2008,91,62.7264640307569
"207",207,"Ang Thong",100.34851,14.623542,3,2008,94,58.5197607006278
"208",208,"Ang Thong",100.34851,14.623542,4,2008,60,68.9771403318371
"209",209,"Ang Thong",100.34851,14.623542,5,2008,57,73.0998226036845
"210",210,"Ang Thong",100.34851,14.623542,6,2008,83,71.8881506341589
"211",211,"Ang Thong",100.34851,14.623542,7,2008,104,74.3183631669456
"212",212,"Ang Thong",100.34851,14.623542,8,2008,55,72.1990319435924
"213",213,"Ang Thong",100.34851,14.623542,9,2008,51,77.4956086994876
"214",214,"Ang Thong",100.34851,14.623542,10,2008,67,80.8069851156732
"215",215,"Ang Thong",100.34851,14.623542,11,2008,33,69.7017095425494
"216",216,"Ang Thong",100.34851,14.623542,12,2008,22,62.3234141598165
"217",217,"Ang Thong",100.34851,14.623542,1,2009,22,60.386422409452
"218",218,"Ang Thong",100.34851,14.623542,2,2009,17,61.8739736720061
"219",219,"Ang Thong",100.34851,14.623542,3,2009,20,66.3485475998987
"220",220,"Ang Thong",100.34851,14.623542,4,2009,15,66.2060563104527
"221",221,"Ang Thong",100.34851,14.623542,5,2009,9,73.8667891788672
"222",222,"Ang Thong",100.34851,14.623542,6,2009,8,73.0044761035836
"223",223,"Ang Thong",100.34851,14.623542,7,2009,10,73.1353616278404
"224",224,"Ang Thong",100.34851,14.623542,8,2009,10,72.6443348878895
"225",225,"Ang Thong",100.34851,14.623542,9,2009,13,78.3282926343307
"226",226,"Ang Thong",100.34851,14.623542,10,2009,14,81.3492938244556
"227",227,"Ang Thong",100.34851,14.623542,11,2009,16,69.071502609708
"228",228,"Ang Thong",100.34851,14.623542,12,2009,2,65.3283936365935
"229",229,"Ang Thong",100.34851,14.623542,1,2010,13,68.7500341275103
"230",230,"Ang Thong",100.34851,14.623542,2,2010,22,68.008503240809
"231",231,"Ang Thong",100.34851,14.623542,3,2010,21,61.0188276393276
"232",232,"Ang Thong",100.34851,14.623542,4,2010,18,61.4694106630966
"233",233,"Ang Thong",100.34851,14.623542,5,2010,12,66.5526460226677
"234",234,"Ang Thong",100.34851,14.623542,6,2010,22,70.544883546014
"235",235,"Ang Thong",100.34851,14.623542,7,2010,47,76.3285758168276
"236",236,"Ang Thong",100.34851,14.623542,8,2010,73,79.2398900663403
"237",237,"Ang Thong",100.34851,14.623542,9,2010,52,80.6696258453915
"238",238,"Ang Thong",100.34851,14.623542,10,2010,16,80.5372370725598
"239",239,"Ang Thong",100.34851,14.623542,11,2010,7,65.8314434225943
"240",240,"Ang Thong",100.34851,14.623542,12,2010,5,67.1814176585992
"241",241,"Ang Thong",100.34851,14.623542,1,2011,5,59.0679800590985
"242",242,"Ang Thong",100.34851,14.623542,2,2011,20,69.2210687140584
"243",243,"Ang Thong",100.34851,14.623542,3,2011,7,69.140879105858
"244",244,"Ang Thong",100.34851,14.623542,4,2011,24,71.6922579361478
"245",245,"Ang Thong",100.34851,14.623542,5,2011,42,76.694041197153
"246",246,"Ang Thong",100.34851,14.623542,6,2011,81,74.8742521524903
"247",247,"Ang Thong",100.34851,14.623542,7,2011,58,75.7709971554948
"248",248,"Ang Thong",100.34851,14.623542,8,2011,47,78.2791375071107
"249",249,"Ang Thong",100.34851,14.623542,9,2011,16,80.3083415856181
"250",250,"Ang Thong",100.34851,14.623542,10,2011,27,78.148829253483
"251",251,"Ang Thong",100.34851,14.623542,11,2011,22,67.5571735602013
"252",252,"Ang Thong",100.34851,14.623542,12,2011,10,60.3474086738723
"253",253,"Ang Thong",100.34851,14.623542,1,2012,13,69.2611091113233
"254",254,"Ang Thong",100.34851,14.623542,2,2012,14,68.1305066027177
"255",255,"Ang Thong",100.34851,14.623542,3,2012,12,64.1145083311775
"256",256,"Ang Thong",100.34851,14.623542,4,2012,21,63.5794457194819
"257",257,"Ang Thong",100.34851,14.623542,5,2012,11,70.3579439652369
"258",258,"Ang Thong",100.34851,14.623542,6,2012,24,72.0963748909133
"259",259,"Ang Thong",100.34851,14.623542,7,2012,26,74.6080320748847
"260",260,"Ang Thong",100.34851,14.623542,8,2012,32,74.5982945557854
"261",261,"Ang Thong",100.34851,14.623542,9,2012,46,81.6046682854533
"262",262,"Ang Thong",100.34851,14.623542,10,2012,31,77.5327879221255
"263",263,"Ang Thong",100.34851,14.623542,11,2012,27,76.1725153231005
"264",264,"Ang Thong",100.34851,14.623542,12,2012,16,67.7388893263951
"265",265,"Ang Thong",100.34851,14.623542,1,2013,24,65.20380981779
"266",266,"Ang Thong",100.34851,14.623542,2,2013,17,64.1031217707791
"267",267,"Ang Thong",100.34851,14.623542,3,2013,15,63.8639316748435
"268",268,"Ang Thong",100.34851,14.623542,4,2013,19,62.1692568815015
"269",269,"Ang Thong",100.34851,14.623542,5,2013,25,65.6385953687057
"270",270,"Ang Thong",100.34851,14.623542,6,2013,23,77.1398194239106
"271",271,"Ang Thong",100.34851,14.623542,7,2013,21,72.5732379253532
"272",272,"Ang Thong",100.34851,14.623542,8,2013,33,71.771423461186
"273",273,"Ang Thong",100.34851,14.623542,9,2013,19,80.7794516318835
"274",274,"Ang Thong",100.34851,14.623542,10,2013,19,77.3118569163632
"275",275,"Ang Thong",100.34851,14.623542,11,2013,7,71.5249332708583
"276",276,"Ang Thong",100.34851,14.623542,12,2013,7,60.9926345779692
"277",277,"Ang Thong",100.34851,14.623542,1,2014,4,56.9022272765992
"278",278,"Ang Thong",100.34851,14.623542,2,2014,4,67.7499148632376
"279",279,"Ang Thong",100.34851,14.623542,3,2014,13,67.5695468303461
"280",280,"Ang Thong",100.34851,14.623542,4,2014,3,65.6887900653938
"281",281,"Ang Thong",100.34851,14.623542,5,2014,16,68.0580194825918
"282",282,"Ang Thong",100.34851,14.623542,6,2014,9,68.2793297435844
"283",283,"Ang Thong",100.34851,14.623542,7,2014,25,68.7830632173754
"284",284,"Ang Thong",100.34851,14.623542,8,2014,12,75.9919592855465
"285",285,"Ang Thong",100.34851,14.623542,9,2014,8,75.5917095237413
"286",286,"Ang Thong",100.34851,14.623542,10,2014,12,76.5198562955762
"287",287,"Ang Thong",100.34851,14.623542,11,2014,24,70.7739981619075
"288",288,"Ang Thong",100.34851,14.623542,12,2014,13,57.7666445024919
"289",289,"Ang Thong",100.34851,14.623542,1,2015,17,60.6305212092921
"290",290,"Ang Thong",100.34851,14.623542,2,2015,18,61.051003018146
"291",291,"Ang Thong",100.34851,14.623542,3,2015,23,68.0672986009723
"292",292,"Ang Thong",100.34851,14.623542,4,2015,55,62.9150863328938
"293",293,"Ang Thong",100.34851,14.623542,5,2015,155,61.2193059219755
"294",294,"Ang Thong",100.34851,14.623542,6,2015,166,66.5396279549267
"295",295,"Ang Thong",100.34851,14.623542,7,2015,142,65.9206185312442
"296",296,"Ang Thong",100.34851,14.623542,8,2015,134,68.4429692444697
"297",297,"Ang Thong",100.34851,14.623542,9,2015,136,76.6810768840327
"298",298,"Ang Thong",100.34851,14.623542,10,2015,120,77.745067770865
"299",299,"Ang Thong",100.34851,14.623542,11,2015,75,69.6455821953047
"300",300,"Ang Thong",100.34851,14.623542,12,2015,23,65.6282278709336
"301",301,"Ang Thong",100.34851,14.623542,1,2016,12,67.1679099748433
"302",302,"Ang Thong",100.34851,14.623542,2,2016,6,56.9559036922265
"303",303,"Ang Thong",100.34851,14.623542,3,2016,15,60.5943926134356
